Runtime,Sim ID,Model,Method,Spike Threshold,N Input,N Hidden,N Output
75.80595922470093,0,Spike,Feedback Align,9.999999999999997e-06,20,10,10
74.0591950416565,0,Spike,Feedback Align,0.10000000000000002,20,10,10
77.33378577232361,0,Spike,Feedback Align,9.999999999999997e-06,110,100,100
74.20062804222107,0,Spike,Feedback Align,0.10000000000000002,110,100,100
79.23863458633423,0,Spike,Backprop,9.999999999999997e-06,20,10,10
79.42794251441956,0,Spike,Backprop,0.10000000000000002,20,10,10
83.10250902175903,0,Spike,Backprop,9.999999999999997e-06,110,100,100
83.23503804206848,0,Spike,Backprop,0.10000000000000002,110,100,100
