Runtime,Sim ID,Model,Method,Spike Threshold
188.25023889541626,0,Spike,Feedback Align,1e-10
188.1950659751892,1,Spike,Feedback Align,1e-10
188.2362105846405,2,Spike,Feedback Align,1e-10
188.38860607147217,3,Spike,Feedback Align,1e-10
188.20808815956116,4,Spike,Feedback Align,1e-10
188.10442399978638,0,Spike,Feedback Align,1e-09
188.15860962867737,1,Spike,Feedback Align,1e-09
188.17581915855408,2,Spike,Feedback Align,1e-09
188.2893624305725,3,Spike,Feedback Align,1e-09
188.1989631652832,4,Spike,Feedback Align,1e-09
188.26776504516602,0,Spike,Feedback Align,1e-08
188.2414779663086,1,Spike,Feedback Align,1e-08
188.2400622367859,2,Spike,Feedback Align,1e-08
188.1709794998169,3,Spike,Feedback Align,1e-08
188.02178478240967,4,Spike,Feedback Align,1e-08
185.6476526260376,0,Spike,Feedback Align,1e-07
185.64442133903503,1,Spike,Feedback Align,1e-07
185.71076893806458,2,Spike,Feedback Align,1e-07
186.12180471420288,3,Spike,Feedback Align,1e-07
185.97840690612793,4,Spike,Feedback Align,1e-07
182.61121463775635,0,Spike,Feedback Align,1e-06
182.88744473457336,1,Spike,Feedback Align,1e-06
182.82744598388672,2,Spike,Feedback Align,1e-06
182.85957622528076,3,Spike,Feedback Align,1e-06
182.82576537132263,4,Spike,Feedback Align,1e-06
180.55687355995178,0,Spike,Feedback Align,1e-05
180.80262207984924,1,Spike,Feedback Align,1e-05
180.7059462070465,2,Spike,Feedback Align,1e-05
180.8000500202179,3,Spike,Feedback Align,1e-05
180.82716488838196,4,Spike,Feedback Align,1e-05
178.8968243598938,0,Spike,Feedback Align,0.0001
179.10354733467102,1,Spike,Feedback Align,0.0001
179.09610533714294,2,Spike,Feedback Align,0.0001
179.18112468719482,3,Spike,Feedback Align,0.0001
179.09750747680664,4,Spike,Feedback Align,0.0001
177.63996005058289,0,Spike,Feedback Align,0.001
177.6923496723175,1,Spike,Feedback Align,0.001
177.7817621231079,2,Spike,Feedback Align,0.001
177.76600551605225,3,Spike,Feedback Align,0.001
177.75581049919128,4,Spike,Feedback Align,0.001
175.90952277183533,0,Spike,Feedback Align,0.010000000000000004
175.98609447479248,1,Spike,Feedback Align,0.010000000000000004
175.98211812973022,2,Spike,Feedback Align,0.010000000000000004
176.00552654266357,3,Spike,Feedback Align,0.010000000000000004
175.97568702697754,4,Spike,Feedback Align,0.010000000000000004
175.69523119926453,0,Spike,Feedback Align,0.0132237612712501
175.72574186325073,1,Spike,Feedback Align,0.0132237612712501
175.7284700870514,2,Spike,Feedback Align,0.0132237612712501
175.76815509796143,3,Spike,Feedback Align,0.0132237612712501
175.77565240859985,4,Spike,Feedback Align,0.0132237612712501
175.2300853729248,0,Spike,Feedback Align,0.017486786215901412
175.2634527683258,1,Spike,Feedback Align,0.017486786215901412
175.23646116256714,2,Spike,Feedback Align,0.017486786215901412
175.43912172317505,3,Spike,Feedback Align,0.017486786215901412
175.31693482398987,4,Spike,Feedback Align,0.017486786215901412
175.07359218597412,0,Spike,Feedback Align,0.023124108632046704
175.09253931045532,1,Spike,Feedback Align,0.023124108632046704
175.04492044448853,2,Spike,Feedback Align,0.023124108632046704
175.04819679260254,3,Spike,Feedback Align,0.023124108632046704
175.06241869926453,4,Spike,Feedback Align,0.023124108632046704
174.65301251411438,0,Spike,Feedback Align,0.03057876921606393
174.74200344085693,1,Spike,Feedback Align,0.03057876921606393
174.73525142669678,2,Spike,Feedback Align,0.03057876921606393
174.73640704154968,3,Spike,Feedback Align,0.03057876921606393
174.76874160766602,4,Spike,Feedback Align,0.03057876921606393
174.3897306919098,0,Spike,Feedback Align,0.040436634408188094
174.29663038253784,1,Spike,Feedback Align,0.040436634408188094
174.2804090976715,2,Spike,Feedback Align,0.040436634408188094
174.3506519794464,3,Spike,Feedback Align,0.040436634408188094
174.28115129470825,4,Spike,Feedback Align,0.040436634408188094
173.96691966056824,0,Spike,Feedback Align,0.053472440002669666
174.02362847328186,1,Spike,Feedback Align,0.053472440002669666
173.8988471031189,2,Spike,Feedback Align,0.053472440002669666
173.95446872711182,3,Spike,Feedback Align,0.053472440002669666
174.0646276473999,4,Spike,Feedback Align,0.053472440002669666
173.46509742736816,0,Spike,Feedback Align,0.07071067811865477
173.43611907958984,1,Spike,Feedback Align,0.07071067811865477
173.36902022361755,2,Spike,Feedback Align,0.07071067811865477
173.37943291664124,3,Spike,Feedback Align,0.07071067811865477
173.447190284729,4,Spike,Feedback Align,0.07071067811865477
172.95613956451416,0,Spike,Feedback Align,0.09350611267692986
172.86329627037048,1,Spike,Feedback Align,0.09350611267692986
172.01029133796692,2,Spike,Feedback Align,0.09350611267692986
172.98322367668152,3,Spike,Feedback Align,0.09350611267692986
173.0644564628601,4,Spike,Feedback Align,0.09350611267692986
171.50264978408813,0,Spike,Feedback Align,0.12365025114423331
172.91415286064148,1,Spike,Feedback Align,0.12365025114423331
172.35905528068542,2,Spike,Feedback Align,0.12365025114423331
172.84596133232117,3,Spike,Feedback Align,0.12365025114423331
172.3166275024414,4,Spike,Feedback Align,0.12365025114423331
170.62826585769653,0,Spike,Feedback Align,0.16351214022614607
170.4714539051056,1,Spike,Feedback Align,0.16351214022614607
170.85025119781494,2,Spike,Feedback Align,0.16351214022614607
171.22843313217163,3,Spike,Feedback Align,0.16351214022614607
171.4461009502411,4,Spike,Feedback Align,0.16351214022614607
169.9515573978424,0,Spike,Feedback Align,0.21622455073017247
170.2750060558319,1,Spike,Feedback Align,0.21622455073017247
169.51652765274048,2,Spike,Feedback Align,0.21622455073017247
