Epoch,Sim ID,Loss,Model,Method,Number Input Datasets
0.0,0,0.3562584637888663,Spike,Feedback Align,1
0.0,1,0.4456257916695411,Spike,Feedback Align,1
0.0,2,0.33285932603797846,Spike,Feedback Align,1
0.0,3,0.32427311511939244,Spike,Feedback Align,1
0.0,4,0.3153350780308925,Spike,Feedback Align,1
111.11111111111111,0,0.033669312063349825,Spike,Feedback Align,1
111.11111111111111,1,0.05019125158047904,Spike,Feedback Align,1
111.11111111111111,2,0.044969445276248056,Spike,Feedback Align,1
111.11111111111111,3,0.04375862775895133,Spike,Feedback Align,1
111.11111111111111,4,0.03816782842086712,Spike,Feedback Align,1
222.22222222222223,0,0.01970332254031682,Spike,Feedback Align,1
222.22222222222223,1,0.022641506471787993,Spike,Feedback Align,1
222.22222222222223,2,0.02320460302557673,Spike,Feedback Align,1
222.22222222222223,3,0.021861738061241098,Spike,Feedback Align,1
222.22222222222223,4,0.023488663823637772,Spike,Feedback Align,1
333.33333333333337,0,0.015372217845987132,Spike,Feedback Align,1
333.33333333333337,1,0.016361464267989668,Spike,Feedback Align,1
333.33333333333337,2,0.017445351750858627,Spike,Feedback Align,1
333.33333333333337,3,0.017667357991688875,Spike,Feedback Align,1
333.33333333333337,4,0.017909357219723074,Spike,Feedback Align,1
444.44444444444446,0,0.013474871502669303,Spike,Feedback Align,1
444.44444444444446,1,0.013620475942485097,Spike,Feedback Align,1
444.44444444444446,2,0.015292555821992383,Spike,Feedback Align,1
444.44444444444446,3,0.01534352944703601,Spike,Feedback Align,1
444.44444444444446,4,0.015366563449783032,Spike,Feedback Align,1
555.5555555555555,0,0.011952077831343978,Spike,Feedback Align,1
555.5555555555555,1,0.011995514621389652,Spike,Feedback Align,1
555.5555555555555,2,0.013438499214583833,Spike,Feedback Align,1
555.5555555555555,3,0.013489743118530816,Spike,Feedback Align,1
555.5555555555555,4,0.013007880410591154,Spike,Feedback Align,1
666.6666666666667,0,0.011133660870140798,Spike,Feedback Align,1
666.6666666666667,1,0.010917836905580472,Spike,Feedback Align,1
666.6666666666667,2,0.01214571442558236,Spike,Feedback Align,1
666.6666666666667,3,0.011960764409425154,Spike,Feedback Align,1
666.6666666666667,4,0.011076456018404214,Spike,Feedback Align,1
777.7777777777778,0,0.010358871826847874,Spike,Feedback Align,1
777.7777777777778,1,0.010270999342283982,Spike,Feedback Align,1
777.7777777777778,2,0.011507132396938678,Spike,Feedback Align,1
777.7777777777778,3,0.011324310016612486,Spike,Feedback Align,1
777.7777777777778,4,0.010547909972950319,Spike,Feedback Align,1
888.8888888888889,0,0.009806050145401165,Spike,Feedback Align,1
888.8888888888889,1,0.009444894174440404,Spike,Feedback Align,1
888.8888888888889,2,0.010967747202392526,Spike,Feedback Align,1
888.8888888888889,3,0.010164313797106972,Spike,Feedback Align,1
888.8888888888889,4,0.009930338492119785,Spike,Feedback Align,1
1000.0,0,0.009479271447257926,Spike,Feedback Align,1
1000.0,1,0.00884532659514599,Spike,Feedback Align,1
1000.0,2,0.009957856625832992,Spike,Feedback Align,1
1000.0,3,0.009249123439912481,Spike,Feedback Align,1
1000.0,4,0.009974094555982714,Spike,Feedback Align,1
0.0,0,0.2644670419251407,Spike,Feedback Align,2
0.0,1,0.3957917623268266,Spike,Feedback Align,2
0.0,2,0.3351630468840548,Spike,Feedback Align,2
0.0,3,0.27101103272200244,Spike,Feedback Align,2
0.0,4,0.29148334327189296,Spike,Feedback Align,2
111.11111111111111,0,0.05831108906486726,Spike,Feedback Align,2
111.11111111111111,1,0.05249998810504001,Spike,Feedback Align,2
111.11111111111111,2,0.049614914404571255,Spike,Feedback Align,2
111.11111111111111,3,0.04963410482713931,Spike,Feedback Align,2
111.11111111111111,4,0.05398012719775652,Spike,Feedback Align,2
222.22222222222223,0,0.029434546158549638,Spike,Feedback Align,2
222.22222222222223,1,0.029344114043205027,Spike,Feedback Align,2
222.22222222222223,2,0.026207753000879838,Spike,Feedback Align,2
222.22222222222223,3,0.02798005494254869,Spike,Feedback Align,2
222.22222222222223,4,0.02802455765601029,Spike,Feedback Align,2
333.33333333333337,0,0.02269228541163193,Spike,Feedback Align,2
333.33333333333337,1,0.021329238723571523,Spike,Feedback Align,2
333.33333333333337,2,0.020759245783240947,Spike,Feedback Align,2
333.33333333333337,3,0.02255772338236443,Spike,Feedback Align,2
333.33333333333337,4,0.022537613067634923,Spike,Feedback Align,2
444.44444444444446,0,0.019140430362072722,Spike,Feedback Align,2
444.44444444444446,1,0.017227103626908616,Spike,Feedback Align,2
